"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gxs"
"remanei_genome_00002324_latens_genome_00001657",6130.73619604665,-2.66465782977286,0.519686667059893,-5.12743158266511,2.93721666782889e-07,6.62650292600912e-07,-1
"remanei_genome_00002719_latens_genome_00001173",26.468032154043,-0.109557359718891,0.671316157344749,-0.16319785919085,0.870362651729771,0.89331420067472,0
"remanei_genome_00002359_latens_genome_00001604",30.1740247060296,1.29761887065579,0.441824312277397,2.93695669205521,0.00331450387664337,0.00511517734232469,1
"remanei_genome_00001901_latens_genome_00002143",6.12924730171154,2.58107557915598,0.594355027496912,4.34264952721273,1.4077461011957e-05,2.7230214126845e-05,1
"remanei_genome_00002424_latens_genome_00001524",0.825102392342216,9.06894302645203,2.8450466111229,3.18762546490324,0.00143446209943343,0.00230378627809976,1
"remanei_genome_00002425_latens_genome_00001523",2.99811491753339,-0.608027343079167,0.939318437658903,-0.647306939481115,0.517433311163871,0.570591648378785,0
"remanei_genome_00002484_latens_genome_00001453",17.8985625716681,1.26552942927865,0.55509356447008,2.27984885842945,0.0226166541028279,0.0314222898388798,1
"remanei_genome_00002481_latens_genome_00001457",6.79454916617087,2.62814649303415,0.765321971368113,3.43404030115064,0.000594655776139764,0.000989839811826547,1
"remanei_genome_00003259_latens_genome_00000874",35.4397063236286,0.546427542200303,0.681267164124644,0.802075266466724,0.422509421245219,0.477242303876245,0
"remanei_genome_00001948_latens_genome_00002090",0.858431413201882,-1.07389343981702,1.66376193484778,-0.645460998550418,0.518628484927882,0.571862645394285,0
"remanei_genome_00002358_latens_genome_00001609",8.32507789635809,2.98490072400287,0.617070472029807,4.83721205162234,1.31672933880014e-06,2.80963635172546e-06,1
"remanei_genome_00003018_latens_genome_00000839",354.527369917039,1.01826210274732,0.437520148497753,2.32734905179469,0.0199466950452322,0.0278975337014246,1
"remanei_genome_00003260_latens_genome_00000555",2.15471787623735,-0.31551286127924,1.23982193798637,-0.254482399135212,0.799122900066587,0.831831186208847,0
"remanei_genome_00002356_latens_genome_00001613",12.8904396742168,0.544242396354256,0.566279226049477,0.961084870004933,0.336509496471064,0.388266536780634,0
"remanei_genome_00001912_latens_genome_00002131",32.2235155474218,1.76562846463325,0.301158481799191,5.86278843645702,4.55158003547792e-09,1.1769423592605e-08,1
"remanei_genome_00002580_latens_genome_00001323",5.68962251188487,1.7157921849044,0.732569859494904,2.34215503499886,0.0191727488164464,0.0269103868618419,1
"remanei_genome_00002670_latens_genome_00001221",400.714548418185,-1.31813005525147,0.293992880604376,-4.48354413393184,7.34134103287184e-06,1.45655330067085e-05,-1
"remanei_genome_00018230_latens_genome_00011463",5053.98213217882,1.43500683678956,0.549384130097911,2.61202819334045,0.00900068312280627,0.0131901312859372,1
"remanei_genome_00019535_latens_genome_00021773",2513.01846251072,4.54003032012094,0.591045065787633,7.68136066590938,1.57407623884179e-14,5.60357787252585e-14,1
"remanei_genome_00002465_latens_genome_00001473",24406.632625293,4.8154480326069,0.527912264172648,9.1216824450058,7.39669880193999e-20,3.59474743077996e-19,1
"remanei_genome_00002469_latens_genome_00001467",4779.13464280869,4.44406384224127,0.576587192704494,7.70753131264726,1.28274839437729e-14,4.58226800736853e-14,1
"remanei_genome_00019575_latens_genome_00021821",7146.74459255246,3.06559640411755,0.51156773855246,5.99255225279063,2.0657303008101e-09,5.46897209764946e-09,1
"remanei_genome_00013235_latens_genome_00009642",8830.71532909848,6.07836688789116,0.539630157238313,11.2639495891013,1.97695296338603e-29,1.90434177850413e-28,1
"remanei_genome_00013236_latens_genome_00009645",7558.55820349517,5.23676725267837,0.587303589345643,8.91662735879587,4.8070385874678e-19,2.20680048384675e-18,1
"remanei_genome_00019563_latens_genome_00021811",4479.03878972322,4.72993361646622,0.598967459461064,7.8968123255345,2.86126698370371e-15,1.06252430322424e-14,1
"remanei_genome_00019557_latens_genome_00021804",6276.86560757599,3.26847989994658,0.512209608301442,6.38113742298843,1.75777477861429e-10,4.97542152766288e-10,1
"remanei_genome_00019558_latens_genome_00021805",9194.15995569059,4.91845109083543,0.714566792852211,6.88312294950527,5.85544470200856e-12,1.81293316713329e-11,1
"remanei_genome_00002405_latens_genome_00001556",21.644307766778,0.928520779320661,0.573082654748793,1.6202213967332,0.105184726728328,0.13244753474381,0
"remanei_genome_00001093_latens_genome_00003029",21.9957476012289,0.0656050323200806,0.358453788263565,0.183022287581021,0.854780531023185,0.880281691125035,0
"remanei_genome_00009394_latens_genome_00013979",164.768203367022,-1.9373906090626,0.435767487767358,-4.44592738891275,8.75135062681619e-06,1.72205650962614e-05,-1
"remanei_genome_00001462_latens_genome_00002638",1095.19265536486,1.88325802074933,0.334926260027088,5.62290344327438,1.8777436811704e-08,4.64866190095061e-08,1
"remanei_genome_00001687_latens_genome_00002375",4.74794257632145,-0.240578699709044,1.17020990394612,-0.205585937102204,0.83711436344465,0.86458872269821,0
