"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mxf"
"remanei_genome_00002324_latens_genome_00001657",6130.73619604665,5.25676307234442,0.522341851426958,10.063836657897,7.98254551692044e-24,4.22672007891198e-23,1
"remanei_genome_00002719_latens_genome_00001173",26.468032154043,0.867008606996889,0.668872270029266,1.29622447490453,0.194898159752886,0.242705414927363,0
"remanei_genome_00002359_latens_genome_00001604",30.1740247060296,0.704755055800192,0.440810253613828,1.59877192062232,0.109871290346732,0.144021054937126,0
"remanei_genome_00001901_latens_genome_00002143",6.12924730171154,0.0118222533569086,0.583830638409886,0.0202494569128944,0.983844375048873,0.986882830135464,0
"remanei_genome_00002424_latens_genome_00001524",0.825102392342216,6.06348151625136,2.84506376271021,2.13122869009982,0.0330703065154027,0.0478831222653469,1
"remanei_genome_00002425_latens_genome_00001523",2.99811491753339,0.533718848370569,0.945290249291659,0.564608435102873,0.572340126638659,0.628198726541108,0
"remanei_genome_00002484_latens_genome_00001453",17.8985625716681,-0.0558641450136216,0.55525060711518,-0.100610686954248,0.919859512795266,0.935747995289002,0
"remanei_genome_00002481_latens_genome_00001457",6.79454916617087,2.07159679321181,0.754335498848072,2.74625388355088,0.00602800954297646,0.00963735113026407,1
"remanei_genome_00003259_latens_genome_00000874",35.4397063236286,2.18124223481383,0.681233936024191,3.20189896519832,0.0013652487355552,0.00235879567949501,1
"remanei_genome_00001948_latens_genome_00002090",0.858431413201882,2.20671942740759,1.66388471126776,1.32624538975794,0.184758429104185,0.231171839919027,0
"remanei_genome_00002358_latens_genome_00001609",8.32507789635809,2.29840217673599,0.617107982081361,3.72447325828458,0.000195723456956404,0.000371841338428211,1
"remanei_genome_00003018_latens_genome_00000839",354.527369917039,0.449876432470489,0.411568277022464,1.09307849410837,0.274359337487967,0.33106552694001,0
"remanei_genome_00003260_latens_genome_00000555",2.15471787623735,0.0588362737036564,1.23980541999165,0.04745605459932,0.962149754196937,0.968932570823194,0
"remanei_genome_00002356_latens_genome_00001613",12.8904396742168,1.5026476225039,0.563534347440877,2.66647033908,0.00766523699956358,0.0120978846297767,1
"remanei_genome_00001912_latens_genome_00002131",32.2235155474218,0.433713767168842,0.301130594238483,1.44028463220631,0.149786887446519,0.191246393898626,0
"remanei_genome_00002580_latens_genome_00001323",5.68962251188487,2.89056498039188,0.73285360911206,3.94425973270999,8.00468637453014e-05,0.000157813725792381,1
